query,image,predict
How many stores did Saint Laurent operate in Western Europe in 2020?,multi_col_803.png,51
"In what year did online sales make up 6.8 percent of retail sales of jewelry, watches and accessories in Germany?",multi_col_20436.png,2013
"What percentage of the retail sales of jewelry, watches and accessories in Germany were online in 2013?",multi_col_20436.png,6.2
"What is the predicted increase in online sales of jewelry, watches and accessories in Germany by 2018?",multi_col_20436.png,11.2
How many companies were in Hungary's insurance market in 2013?,multi_col_20505.png,32
How many companies were in Hungary's insurance market in 2019?,multi_col_20505.png,28
How many drone strikes did the U.S. carry out in Somalia in 2019?,multi_col_20569.png,43
In what year did both genders achieve their highest pass rates?,multi_col_1536.png,2000
What percentage of female students achieved a C/4 grade or higher in the United Kingdom in 2020?,multi_col_1536.png,71.9
What percentage of male students achieved a C/4 grade or higher in 2020?,multi_col_1536.png,71.9
Who is predicted to have the highest gross profit margin?,multi_col_852.png,Ted baker is predicted to have the highest gross profit margin in 2016 and 2017.
How many of the civilians killed in the first six months of 2021 were Black?,multi_col_10.png,231
How many journalists were murdered in 2020?,multi_col_41003.png,21
In what year was the number of journalists killed similar to the number in 2020?,multi_col_41003.png,"In 2019, the number of journalists killed was similar to the number in 2020."
What new generation of mobile technology is forecast to gain market revenue in the coming years?,multi_col_100960.png,The forecast shows that the number of mobile devices sold in the coming years is expected to increase by 20% compared to the previous year.
What was the global 4G service revenues in dollars in 2018?,multi_col_100960.png,210
How many women in Russia were married in 2010?,multi_col_60831.png,89.4
How many men were married in Russia in 2010?,multi_col_60831.png,170
How many women and 77 men were divorced out of every thousand individuals?,multi_col_60831.png,"Finally, we can find the number of divorced individuals by dividing the total number of divorced individuals by the"
What was the average number of applications per job posting on LinkedIn in the United States?,multi_col_40311.png,3.4
How many Starwood Hotels & Resorts properties were in the Asia Pacific region in 2015?,multi_col_60316.png,317
Which late night host had the highest favorability ratings?,multi_col_20350.png,Jimmy colman
How many Swedish companies operated on the total market between 2011 and 2018?,multi_col_20741.png,351
How many Swedish companies operated on both the domestic and the total market between 2011 and 2018?,multi_col_20741.png,351
What country had the highest percentage of collected PET plastics and bottles?,multi_col_20159.png,Germany had the highest percentage of collected PET plastics and bottles.
Which company accounted for 15.4 percent of the global WFE market in 2020?,multi_col_1009.png,Kla
How many restaurants were owned by Jack in the Box Inc. in 2020?,multi_col_796.png,194
What is the most popular social media for women?,two_col_100878.png,Facebook
In what year was the per capita real GDP of Montana the highest in 2019?,two_col_101214.png,2019
What category accounted for five percent of top 100 pins in 2018?,two_col_101579.png,Diy Home
